eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
107.1,2.38,3001,0.014647487,0.1895752,2.037814,-0.027735917,0.15418667,0.5520334839820862,160,40960,892.8847981570289,2621440
120.43,2.89,3029,0.014235735,0.18882243,2.0658643,-0.027024435,0.15133142,0.5633327066898346,161,41216,898.3353124279529,2637824
104.56,2.6,3007,0.013467848,0.18516032,2.043107,-0.026868468,0.15130655,0.5579068064689636,162,41472,903.7847495814785,2654208
117.38,2.92,2982,0.012956898,0.17708333,2.0618696,-0.023307825,0.17505394,0.5583322048187256,163,41728,909.3235015124083,2670592
114.66,2.43,2932,0.013267639,0.17838542,2.0449862,-0.027439581,0.1418236,0.6034510433673859,164,41984,914.9116743113846,2686976
105.22,2.83,2943,0.014388186,0.19828288,2.0479326,-0.028537268,0.16536756,0.5708513557910919,165,42240,920.5630521764979,2703360
113.06,2.61,2948,0.016049685,0.20808919,2.0536134,-0.0279012,0.14695571,0.5770643353462219,166,42496,926.1205536667258,2719744
103.96,2.04,2952,0.014518138,0.19433594,2.0612051,-0.028528133,0.1355487,0.5964083671569824,167,42752,931.7135031931102,2736128
104.97,2.25,2988,0.015522634,0.20048015,2.052091,-0.02583631,0.13919847,0.544065922498703,168,43008,937.1960738832131,2752512
114.18,2.75,2959,0.013718139,0.18469238,2.0546935,-0.026713753,0.15297197,0.6130280494689941,169,43264,942.7695123553276,2768896
114.63,2.59,2978,0.014789626,0.19541423,2.0464067,-0.024548903,0.15241067,0.5773771703243256,170,43520,948.2714778622612,2785280
105.29,2.31,2909,0.015490162,0.20452881,2.055608,-0.028161058,0.14182721,0.5638594627380371,171,43776,953.9481840804219,2801664
123.08,3.18,2947,0.01575199,0.21514893,2.0107877,-0.023246333,0.15241806,0.6393094956874847,172,44032,959.5082490919158,2818048
112.09,2.65,3000,0.0154299885,0.2049764,2.0298636,-0.028099148,0.16656564,0.5651699602603912,173,44288,965.011289877817,2834432
107.08,2.97,2874,0.013718949,0.18469238,2.0065513,-0.025985042,0.17972647,0.5847247838973999,174,44544,970.7127006072551,2850816
114.71,2.78,2915,0.015114685,0.20617676,2.0651448,-0.026776684,0.16769443,0.5817612707614899,175,44800,976.3790970286354,2867200
113.42,2.85,2968,0.014780953,0.20383708,2.0558069,-0.024932439,0.17568041,0.6507252752780914,176,45056,981.8990963278338,2883584
108.4,2.63,2955,0.015049328,0.1984253,2.0494766,-0.028217958,0.15226515,0.6433093845844269,177,45312,987.4859515223652,2899968
117.02,2.67,2877,0.015324914,0.20379639,2.0459116,-0.028380169,0.15058236,0.6162144839763641,178,45568,993.1814856296405,2916352
117.78,2.69,2906,0.016054513,0.20898438,2.045489,-0.02943343,0.1398438,0.6259318590164185,179,45824,998.8613237300888,2932736
117.46,2.55,3050,0.015176325,0.20037842,2.044448,-0.028502444,0.14434941,0.6092140674591064,180,46080,1004.2328721955419,2949120
